Morpho_ID,Sample_Number,Morphospecies,Class,Order,Family,Genus,Species,Species_Name,Common_Name,ID_Level,Trophic,Size,Hunting Style,Intro_Native,Duplicates,In_Database,NOTES
54,60,Whitefly,Insecta,Hemiptera,Aleyrodidae,NA,NA,NA,Whitefly,Family,Herbivore,0-2.5,NA,Unknown,209,Yes,
55,29,Variable_Ladybug,Insecta,Coleoptera,Coccinellidae,Coelophora,inaequalis,Coelophora_inaequalis,Variable_Ladybug,Species,Predator,2.5-5,Active_Hunting,Native,NA,Yes,
56,26b,Red_Blue_Beetle,Insecta,Coleoptera,Melyridae,Dicranolaius,bellulus,Dicranolaius_bellulus,Red_and_Blue_Beetle,Species,Predator,5-10,Active_Hunting,Native,NA,Yes,
57,66,Hoverfly,Insecta,Diptera,Syrphidae,NA,NA,NA,Hoverfly,Family,Predator,5-10,Active_Hunting,Unknown,166,Yes,
58,9,Sword_Tailed_Cricket_Sp.,Insecta,Orthoptera,Trigonidiidae,Trigonidium,NA,NA,Sword_Tailed_Cricket,Genus,Ominvore,5-10,NA,Unknown,NA,Yes,
59,16,Lean_Lynx_Spider,Arachnida,Araneae,Oxyopidae,Oxyopes,macilentus,Oxyopes_macilentus,Lean_Lynx_Spider,Species,Predator,NA,Ambush_Hunter,Native,NA,Yes,
60,20,Orb_Weaving_Small,Arachnida,Araneae,Araneidae,NA,NA,NA,Orb_Weaving_Spiders,Family,Predator,NA,Web,Native,79 & 168,Yes,
61,39,Green_Lacewing,Insecta,Neuroptera,Chrysopidae,NA,NA,NA,Green_Lacewing,Family,Predator,2.5-5,NA,Native,195 & 154,Yes,size based on nymph (no adults caught)
62,40,Wolf_spider,Arachnida,Araneae,Lycosidae ,NA,NA,NA,Wolf_Spiders,Family,Predator,NA,Ambush_Hunter,Unknown,NA,Yes,
63,145,Caterpillar_1,Insecta,Lepidoptera,NA,NA,NA,NA,Caterpillar,Order,Herbivore,2.5-5,NA,NA,NA,Yes,Colour leached a bit in sample
64,63,Pacific_Damsel_Bug,Insecta,Hemiptera,Nabidae,Nabis,kinbergii,Nabis_kinbergii,Pacific_Damsel_Bug,Family,Predator,5-10,Active_Hunting,Native,NA,Yes,
65,72,Black_Weevil,Insecta,Coleoptera,Brentidae,NA,NA,NA,Weevil,Family,Herbivore,2.5-5,NA,Native,NA,Yes,
66,77,Brown_Lacewing,Insecta,Neuroptera,Hemerobiidae ,Micromus,NA,NA,Brown_Lacewing,Genus,Predator,5-10,Active_Hunting,Native,"159, 90",Yes,Size based on adult
67,101,Transverse_Ladybug,Insecta,Coleoptera,Coccinellidae,Coccinella,transversalis,Coccinella_transversalis,Transverse_Ladybug,Species,Predator,2.5-5,Active_Hunting,Native,NA,Yes,
68,109,Heliocheilus,Insecta,Lepidoptera,Noctuidae,Heliocheilus,NA,NA,Heliocheilus,Genus,Herbivore,5-10,NA,Native,NA,Yes,
69,119,Striped_Ladybug,Insecta,Coleoptera,Coccinellidae,Micraspis,frenata,Micraspis_frenata,Striped_Ladybug,Species,Predator,5-10,Active_Hunting,Native,129,Yes,
70,126,Silver_Orb_Spider,Arachnida,Araneae,Tetragnathidae,Leucauge,dromedaria,Leucauge_dromedaria,Silver_Orb_Spider,Species,Predator,NA,Web,Native,136 & 52,Yes,
71,132,Longlegged_Sac_Spider,Arachnida,Araneae,Cheiracanthiidae,Cheiracanthium,NA,NA,Longlegged_Sac_Spider,Species,Predator,NA,Unknown,Unknown,"175a, 175b, 62, 156",Yes,
72,137,Minute_Two-spotted_Ladybird,Insecta,Coleoptera,Coccinellidae,Diomus,notescens,Diomus_notescens,Minute_Two-spotted_Ladybird,Species,Predator,0-2.5,Active_Hunting,Native,NA,Yes,
73,139,Tobacco_Looper,Insecta,Lepidoptera,Noctuidae,Chrysodeixis,argentifera,Chrysodeixis_argentifera,Tobacco_Looper,Species,Herbivore,5-10,NA,Native,NA,Yes,
74,144,Spotted_Amber_Ladybird,Insecta,Coleoptera,Coccinellidae,Hippodamia,variegata,Hippodamia_variegata,Spotted_Amber_Ladybird,Species,Predator,5-10,Active_Hunting,Introduced,"149,160,105",Yes,
75,151,Jumping_Spider_1,Arachnida,Araneae,Salticidae,NA,NA,NA,Jumping_Spider,Family,Predator,NA,Active_Hunting,Unknown,NA,Yes,
76,157,Sooty_Christmas_Spider,Arachnida,Araneae, Araneidae,Austracantha,lugubris,Austracantha_minax_ssp._lugubris,Christmas_Spider,Species,Predator,NA,Web,Native,NA,Yes,
77,162,Flea_Beetle,Insecta,Coleoptera,Chrysomelidae,Asphaera,NA,NA,Flea_Beetle,Genus,Herbivore,2.5-5,NA,Unknown,NA,Yes,
78,201,Mottled_Brown_Leaf_Hopper,Insecta,Hemiptera,Cicadellidae,Orosius,NA,NA,Leafhopper_Orosius_Spp.,Genus,Herbivore,2.5-5,NA,Native,NA,Yes,Double check this ID and that it makes sense from photos  and if I can actually get a species from this
79,No_Sample,Ichneumonid_Wasp,Insecta,Hymenoptera,Ichneumonidae,Lissonota,macqueeni,Lissonota_macqueeni,Ichneumonid_Wasp,Species,Parasite,Unknown,Active_Hunting,Unknown,NA,Yes,
80,164,Cosmet_Moth_sp.,Insecta,Lepidoptera,Cosmopterigidae,Cosmopterix,macrula,Cosmopterix_macrula,Cosmet_Moth,Species,Herbivore,2.5-5,NA,Native,NA,Yes,
81,153,Salsa_sp.,Arachnida,Araneae,Araneidae,Salsa,NA,NA,Typical_Orbweaver,Genus,Predator,NA,Web,Native,NA,Yes,
82,196,Maculate_Ladybird,Insecta,Coleoptera,Coccinellidae,Harmonia,octomaculata,Harmonia_octomaculata,Maculate_Ladybird,Species,Predator,5-10,Active_Hunting,Native,NA,Yes,
83,202,Rosopaella_Leafhopper,Insecta,Hemiptera,Cicadellidae,Rosopaella,leurensis,Rosopaella_leurensis,Rosopaella_Leafhopper,Species,Herbivore,5-10,NA,Native,38,Yes,
84,185,Orchid_Dupe_Wasp,Insecta,Hymenoptera,Ichneumonidae,Lissopimpla,excelsa,Lissopimpla_excelsa,Orchid_Dupe_Wasp,Species,Parasite,15-20,Active_Hunting,Native,NA,Yes,
85,197,Rutherglen_Bug,Insecta,Hemiptera,Lygaeidae,Nysius,vinitor,Nysius_vinitor,Rutherglen_Bug,Species,Herbivore,2.5-5,NA,Native,161,Yes,
86,188,Angulate_Pointed,Arachnida,Araneae,Araneidae,Araneus,NA,NA,Angulate_and_Roundshouldered_Orbweavers,Genus,Predator,NA,NA,Unknown,NA,Yes,
87,192,Asian_Woolly_Hackberry_Aphid,Insecta,Hemiptera,Aphididae,Shivaphis,celti,Shivaphis_celti,Asian_Woolly_Hackberry_Aphid,Species,Herbivore,0-2.5,NA,Introduced,NA,Yes,
88,203,Green_Mirid,Insecta,Hemiptera,Miridae,Creontiades,dilutus,Creontiades_dilutus,Green_Mirid,Species,Herbivore,5-10,NA,Native,NA,Yes,
89,No_Sample,White_Moth_Medium,Insecta,Lepidoptera,NA,NA,NA,NA,Moth,Order,Herbivore,Unknown,NA,Unknown,NA,Yes,
90,No_Sample,Tiny_Pale_Spider,Arachnida,Araneae,NA,NA,NA,NA,Spider,Order,Predator,NA,Unknown,Unknown,NA,Yes,
91,No_Sample,Green_Red_Dragonfly,Insecta,Odonata,NA,NA,NA,NA,Dragonfly,Order,Predator,Unknown,Hawking,Unknown,NA,Yes,
92,No_Sample,Small_Black_Spider_3,Arachnida,Araneae,NA,NA,NA,NA,Spider,Order,Predator,NA,Unknown,Unknown,NA,Yes,
93,No_Sample,Small_Black_White_Spider,Arachnida,Araneae,NA,NA,NA,NA,Spider,Order,Predator,NA,Unknown,Unknown,NA,Yes,
94,No_Sample,White_Moth_Medium_2,Insecta,Lepidoptera,NA,NA,NA,NA,Moth,Order,Herbivore,Unknown,NA,Unknown,NA,Yes,
95,236,Christmas_Jewel_Spider,Arachnida,Araneae,Araneidae,Austracantha,minax,Austracantha_minax,Christmas_Jewel_Spider,Species,Predator,NA,Web,Native,NA,Yes,Endemic to Australia
96,220,Spider_Abdomen_Patterned,Arachnida,Araneae,Araneidae,NA,NA,NA,Orb_Weaver,Family,Predator,NA,Web,Unknown,NA,Yes,"Sample damaged in capture, didn't realise until back in the lab, no abdomen left"
97,225,Potato_Tuber_Moth,Insecta,Lepidoptera,Gelechiidae,Phthorimaea,operculella,Phthorimaea_operculella,Potato_Tuber_Moth,Species,Herbivore,2.5-5,NA,Introduced,NA,Yes,
98,232,Shiny_Flea_Beetle,Insecta,Coleoptera,Chrysomelidae,Asphaera,lustrans,Asphaera_lustrans,Shiny_Flea_Beetle,Species,Herbivore,2.5-5,NA,Introduced,NA,Yes,
99,217,Straight-snouted_Weevil_sp.,Insecta,Coleoptera,Brentidae,Austronanodes,nigrovarius,Austronanodes_nigrovarius,Straight-snouted_Weevil,Species,Herbivore,0-2.5,NA,Native,207,Yes,
100,226,Hairy_Fungus_Beetle,Insecta,Coleoptera,Mycetophagidae,Typhaea,stercorea,Typhaea_stercorea,Hairy_Fungus_Beetle,Species,Fungivore,2.5-5,NA,Introduced,NA,Yes,
101,223,Ladybug,Insecta,Coleoptera,Coccinellidae,NA,NA,NA,Ladybug,Family,Predator,2.5-5,NA,Unknown,NA,Yes,
102,227,Striped_Orb_Weaver,Arachnida,Araneae,Araneidae,NA,NA,NA,Orb_Weaver,Family,Predator,NA,Web,Unknown,65 & 228,Yes,Missing Sample 
103,135,Tiny_White_Caterpillar,Insecta,Lepidoptera,NA,NA,NA,NA,Butterfly/Moth,Order,Herbivore,0-2.5,NA,Unknown,NA,Yes,
104,211,Australian_Plague_Locust,Insecta,Orthoptera,Acrididae,Chortoicetes,terminifera,Chortoicetes_terminifera,Australian_Plague_Locust,Species,Herbivore,>30,NA,Native,NA,Yes,"Sample damaged, one leg is dettached"
105,125,Long-jawed_Orbweaver_sp.,Arachnida,Araneae,Tetragnathidae,NA,NA,NA,Long-jawed_Orbweaver,Family,Predator,NA,Web,Unknown,NA,Yes,Missing Sample 
106,180,Common_House_Fly,Insecta,Diptera,Muscidae,Musca,domestica,Musca_domestica,Common_House_Fly,Species,Ominvore,2.5-5,NA,Introduced,44 & 81,Yes,
107,3,Minute_Brown_Scavenger_Beetle_sp._1,Insecta,Coleoptera,Latridiidae,NA,NA,NA,Minute_Brown_Scavenger_Beetle,Family,Fungivore,0-2.5,NA,Unknown,NA,Yes,
108,107b,Minute_Brown_Scavenger_Beetle_sp._2,Insecta,Coleoptera,Latridiidae,NA,NA,NA,Minute_Brown_Scavenger_Beetle,Family,Fungivore,0-2.5,NA,Unknown,NA,Yes,
109,165,Cartodere_bifasciata_Minute_Brown_Scavenger_Beetle,Insecta,Coleoptera,Latridiidae,Cartodere,bifasciata,Cartodere_bifasciata,Cartodere_bifasciata_Minute_Brown_Scavenger_Beetle,Species,Fungivore,0-2.5,NA,Native,NA,Yes,
110,32,Minute_Brown_Scavenger_Beetle_sp._3,Insecta,Coleoptera,Latridiidae,NA,NA,NA,Minute_Brown_Scavenger_Beetle,Family,Fungivore,0-2.5,NA,Unknown,58,Yes,
111,178,Litargops_multiguttatus,Insecta,Coleoptera,Mycetophagidae,Litargops,multiguttatus,Litargops_multiguttatus,Hairy_Fungus_Beetle,Species,Fungivore,0-2.5,NA,Native,NA,Yes,
112,107a,Garden_Jumping_Spider_Sp.,Arachnida,Araneae,Salticidae,Opisthoncus,NA,NA,Garden Jumping Spider,Genus,Predator,NA,Active_Hunting,Unknown,NA,Yes,
113,1,Mosquito_sp.,Insecta,Diptera,Culicidae,NA,NA,NA,Mosquito,Family,Hematophagous,2.5-5,Active_Hunting,Unknown,NA,Yes,
114,2,Fly_Orange,Insecta,Diptera,NA,NA,NA,NA,Fly,Order,Unknown,0-2.5,NA,Unknown,35 & 46,Yes,
115,4,Black_Psylloid,Insecta,Hemiptera,Psylloidea,NA,NA,NA,Psylloid,Superfamily,Herbivore,0-2.5,NA,Unknown,NA,Yes,Sample a little damaged
116,170,Rove_Bettle_sp.,Insecta,Coleoptera,Paederinae,NA,NA,NA,Rove_Beetle,Subfamily,Predator,2.5-5,Active_Hunting,Unknown,NA,Yes,
117,172,Sword_Tailed_Cricket_Sp.2,Insecta,Orthoptera,Trigonidiidae,Trigonidium,NA,NA,Sword_Tailed_Cricket,Genus,Ominvore,5-10,NA,Unknown,NA,Yes,
118,182,Common_Gea,Arachnida,Araneae,Araneidae,Gea,theridioides,Gea_theridioides,Common_Gea,Species,Predator,NA,Web,Native,NA,Yes,
119,204,Angulate_and_Roundshouldered_Orbweavers_Sp.,Arachnida,Araneae,Araneidae,Araneus,NA,NA,Angulate_and_Roundshouldered_Orbweavers,Genus,Predator,NA,Web,Unknown,NA,Yes,
120,30,Non-biting_Midge_Sp._1,Insecta,Diptera,Chironomidae,NA,NA,NA,Non-biting_Midge,Family,Ominvore,5-10,NA,Unknown,NA,Yes,Sample a little damaged - lost two legs
121,100,Non-biting_Midge_Sp._2,Insecta,Diptera,Chironomidae,Chironomus,nepeanensis,Chironomus_nepeanensis,Non-biting_Midge,Species,Ominvore,5-10,NA,Native,NA,Yes,
122,128b,Mosquito_sp._2,Insecta,Diptera,Culicidae,NA,NA,NA,Mosquito,Family,Hematophagous,5-10,Active_Hunting,Unknown,NA,Yes,
123,239,Aphid_Orange,Insecta,Hemiptera,Aphididae,NA,NA,NA,Aphid,Family,Herbivore,2.5-5,NA,Unknown,49,Yes,
124,238,White_Bug,Insecta,Hemiptera,NA,NA,NA,NA,True_Bug,Order,Unknown,0-2.5,NA,Unknown,NA,Yes,
125,27a,Black_Fly_2,Insecta,Diptera,NA,NA,NA,NA,Fly,Order,Unknown,0-2.5,NA,Unknown,NA,Yes,
126,24a,Seed_Bugs&Allies_sp.2,Insecta,Hemiptera,Oxycarenidae,NA,NA,NA,Seed_Bugs_and_Allies,Family,Herbivore,0-2.5,NA,Unknown,NA,Yes,
127,8,Small_Fly,Insecta,Diptera,NA,NA,NA,NA,Fly,Order,Unknown,2.5-5,NA,Unknown,NA,Yes,Check under microscope if this has two or four wings (If it's four wings then it's a native bee instead of a fly)
128,134,Caterpillar_2,Insecta,Lepidoptera,NA,NA,NA,NA,Caterpillar,Order,Herbivore,2.5-5,NA,Unknown,91,Yes,
129,74,Moth_Pupa,Insecta,Lepidoptera,NA,NA,NA,NA,Moth Pupa,Order,Herbivore,0-2.5,NA,Unknown,NA,Yes,Sample damaged after I took pictures and was transferring back into tube
130,75,Caterpillar_3,Insecta,Lepidoptera,NA,NA,NA,NA,Caterpillar,Order,Herbivore,5-10,NA,Unknown,NA,Yes,
131,120,Caterpillar_4,Insecta,Lepidoptera,NA,NA,NA,NA,Caterpillar,Order,Herbivore,5-10,NA,Unknown,NA,Yes,
132,86,Parasitic_Wasp_Grub,Insecta,Hymenoptera,NA,NA,NA,NA,Parasitic_Wasp_Grub,Order,Parasite,5-10,Unknown,Unknown,NA,Yes,
133,NA,Medium_White_Spider,Arachnida,Araneae,NA,NA,NA,NA,Spider,Order,Predator,NA,Unknown,Unknown,NA,Yes,This was the spider with the above parasitic grub on it and was consumed by the time I made it back to the lab and only the grub was left
134,111,Brown_Hemi,Insecta,Hemiptera,NA,NA,NA,NA,True_Bug,Order,Unknown,0-2.5,NA,Unknown,NA,Yes,
135,138,Thread_Bug,Insecta,Hemiptera,Reduviidae,Empicoris,rubromaculatus,Empicoris_rubromaculatus,Thread_Bug,Species,Predator,2.5-5,Active_Hunting,Native,NA,Yes,
136,124,Black_Spider_2,Arachnida,Araneae,NA,NA,NA,NA,Spider,Order,Predator,NA,Unknown,Unknown,NA,Yes,Sample damaged
137,133,Coleoptera_Larvae,Insecta,Coleoptera,NA,NA,NA,NA,Coleoptera_Larvae,Order,Unknown,2.5-5,NA,Unknown,NA,Yes,
138,6,Dark_Mottled_Spider,Arachnida,Araneae, Araneidae,NA,NA,NA,Orb_Weaver,Family,Predator,NA,Web,Unknown,18,Yes,
139,7,Sheet_Dwarf_sp.,Arachnida,Araneae,Linyphiidae,NA,NA,NA,Sheetweb_and_Dwarf_Weavers,Family,Predator,NA,Web,Unknown,"55, 27b",Yes,
140,10,Typical_Orbweaver_sp.,Arachnida,Araneae,Araneidae,NA,NA,NA,Typical_Orbweaver,Family,Predator,NA,Web,Unknown,NA,Yes,
141,12,Small_Brown_Spider,Arachnida,Araneae,Araneidae,NA,NA,NA,Orb_Weaver,Family,Predator,NA,Web,Unknown,NA,Yes,
142,13,Leaf-curling_Orbweaver_sp.,Arachnida,Araneae,Phonognathidae,NA,NA,NA,Leaf-curling_Orbweavers,Family,Predator,NA,Web,Unknown,171,Yes,
143,14,Small_Brown_Spider_2,Arachnida,Araneae,Araneidae,NA,NA,NA,Orb_Weaver,Order,Predator,NA,Web,Unknown,NA,Yes,
144,15,Small_Brown_Spider_3,Arachnida,Araneae,Araneidae,NA,NA,NA,Orb_Weaver,Order,Predator,NA,Web,Unknown,98,Yes,
145,17,Brown_Spider,Arachnida,Araneae,NA,NA,NA,NA,Spider,Order,Predator,NA,Unknown,Unknown,"26a, 37, 56, 82 & 130",Yes,
146,19,Angulate_and_Roundshouldered_Orbweavers_Sp._2,Arachnida,Araneae,Araneidae,Araneus,NA,NA,Angulate_and_Roundshouldered_Orbweavers,Genus,Predator,NA,Web,Unknown,28b,Yes,
147,76,Fly_Orange_2,Insecta,Diptera,NA,NA,NA,Na,Fly,Order,Unknown,2.5-5,NA,Unknown,NA,Yes,
148,115,Jumping_Spider_2,Arachnida,Araneae,Salticidae,NA,NA,NA,Jumping_Spider,Family,Predator,NA,Active_Hunting,Unknown,NA,Yes,
149,21,Brown_Spider_Small,Arachnida,Araneae,NA,NA,NA,NA,Spider,Order,Predator,NA,Unknown,Unknown,NA,Yes,
150,23,Orb_Weaver_Pale,Arachnida,Araneae,Araneidae,NA,NA,NA,Orbweaver,Family,Predator,NA,Web,Unknown,NA,Yes,
151,24b,Angulate_and_Roundshouldered_Orbweavers_Sp._3,Arachnida,Araneae,Araneidae,Araneus,NA,NA,Angulate_and_Roundshouldered_Orbweavers,Genus,Predator,NA,Web,Unknown,NA,Yes,
152,25a,Black_Brown_Spider,Arachnida,Araneae,NA,NA,NA,NA,Spider,Order,Predator,NA,Unknown,Unknown,NA,Yes,The sample is a little missahpen on ab from tweezers
153,25b,Triangular_Headed_Spider,Arachnida,Araneae,NA,NA,NA,NA,Spider,Order,Predator,NA,Unknown,Unknown,NA,Yes,
154,28a,Sheet_Dwarf_sp._2,Arachnida,Araneae,Linyphiidae,NA,NA,NA,Sheetweb_and_Dwarf_Weavers,Family,Predator,NA,Web,Unknown,NA,Yes,
155,33,Brown_Spider_2,Arachnida,Araneae,NA,NA,NA,NA,Spider,Order,Predator,NA,Unknown,Unknown,NA,Yes,
